"name","address","price","lon","lat"
"天沐旅店(西門館)","臺北市 康定路32號",1990,121.5026274,25.0440008
"龍蝦先生的秘密巢穴","臺北市 重慶北路一段22號9樓",562,121.5134452,25.0505683
"台北馥華南港館","臺北市 三重路23號",2880,121.614137,25.059102
"中山莉豪商旅","臺北市 中山北路二段71號10樓",2728,121.5229399,25.0573249
"老爺會館(台北林森館)","臺北市 林森北路83號4樓",3640,121.5249501,25.0496952
"191旅店","臺北市 南京西路165號6樓",1780,121.512993,25.054084
"西門町意舍","臺北市 武昌街二段77號",3200,121.5055717,25.0451617
"幸福旅店","臺北市 成都路66號",2000,121.505295,25.042822
"一加一旅館","臺北市 昆明街34號3樓",1400,121.5058136,25.0470643
"高絲旅(漢口館)","臺北市 漢口街二段54號1樓",2499,121.5057925,25.0456733
"台北日記旅店","臺北市 中華路一段152號5樓",2580,121.508027,25.0427229
"慶爾喜旅館","臺北市 漢口街二段74巷2之1號",NA,121.5047671,25.04579
"長虹大飯店","臺北市 漢中街36號",1880,121.50744,25.044506
"愛客發(西門館)","臺北市 成都路135號",1980,121.503506,25.0434349
"高絲旅(西寧館)","臺北市 西寧南路36號9樓之1",2380,121.5064979,25.045226
"函舍旅館","臺北市 成都路68號",2580,121.505239,25.042837
"古奈堡旅店","臺北市 成都路27巷10號5樓",2100,121.506795,25.0431879
"西門星辰","臺北市 峨眉街72號",1780,121.504378,25.044043
"璞麗商旅(西門店)","臺北市 成都路27巷6號(西門捷運站6號出口)",2280,121.5654268,25.0329636
"明日大飯店","臺北市 成都路23號",2280,121.506969,25.042611
"信星青年旅館","臺北市 華陰街50號4樓",620,121.5153565,25.0501819
"東吳大飯店","臺北市 延平北路二段258號",2800,121.511271,25.060415
"獅城大飯店","臺北市 華陰街179號6樓",1480,121.5154487,25.0502899
"台北日記旅店(中華二館)","臺北市 中華路一段90號3樓",2380,121.5084757,25.0446881
"愛客發(萬年館)","臺北市 西寧南路70號6樓",2280,121.505886,25.0435081
"班客旅店","臺北市 廣州街247號",2860,121.4971387,25.0368791
"龍山商旅","臺北市 西園路一段125巷13之1號",1350,121.49986,25.037596
"三隻老虎青年旅館","臺北市 康定路25巷39號3樓",2500,121.504591,25.043684
"台北漫步青年旅店","臺北市 成都路163號",550,121.5024772,25.0438705
"晶璽商旅","臺北市 信義路四段468號3樓",3000,121.5591628,25.0328345
"豪麗旺商務旅館","臺北市 基隆路二段15之2號",3480,121.5593385,25.0322596
"太平洋商旅","臺北市 光復南路495號11樓",4730,121.5575934,25.0324176
"誠品行旅","臺北市 菸廠路98號",7168,121.5615044,25.0449802
"星美休閒飯店","臺北市 前港街38之1號",2988,121.521236,25.0847177
"丹迪旅店(天母店)","臺北市 中山北路六段728巷2號",2400,121.527901,25.1147549
"台北商旅官邸別館","臺北市 文林路102號",3399,121.5262943,25.0880103
"陽明山中國麗緻大飯店","臺北市 格致路237號",8800,121.5489025,25.1432836
"泉都溫泉旅館","臺北市 光明路220號",2400,121.50451,25.136237
"天玥泉會館","臺北市 中山路3號",3720,121.5054429,25.1371628
"途中台北國際青年旅舍","臺北市 光明路82號",600,121.5006193,25.1329764
"山樂溫泉","臺北市 泉源路1巷17號",2800,121.5040904,25.1380355
"樺舍商旅","臺北市 中央北路三段53巷1號",2900,121.4857907,25.1378352
"法皇商務飯店","臺北市 重陽路122號",2240,121.5999172,25.0568234
"意芙旅店","臺北市 延平北路2段195號之2",2080,121.511576,25.05927
"城市商旅-南西館","臺北市 南京西路169號",2988,121.5127551,25.0540428
